id_metodo,nome_metodo,tipo_cub_sinapi,fator_custo_base,fator_prazo_base,limitacao_pavimentos,percentual_material,percentual_mao_obra,percentual_admin_equip,tempo_execucao_dias_padrao,custo_inicial_m2_sudeste,data_atualizacao_cub,fonte_primaria,fonte_secundaria,status_validacao,aplicavel_residencial,aplicavel_comercial,aplicavel_industrial,mao_obra_especializada_requerida,tamanho_projeto_minimo_m2,faixa_altura_pavimentos_recom,url_referencia,nota_importante,validado_por,data_criacao,data_atualizacao
MET_01,Alvenaria Convencional,1,1.00,1.00,até 4 pavimentos,0.65,0.30,0.05,120,1847.32,2025-11-14,CBIC Estudo 2024,SINAPI CAIXA,VALIDADO,TRUE,TRUE,FALSE,FALSE,50,1-4,https://cbic.org.br/wp-content/uploads/2024/08/Estudo_Metodos_Construtivos_CBIC_2024.pdf,Método de referência - baseline para comparações,matheusoption-bit,2025-11-14,2025-11-14
MET_02,Alvenaria Estrutural,1,0.92,0.85,até 15 pavimentos,0.68,0.27,0.05,102,1699.53,2025-11-14,CBIC Estudo 2024,ABCP Alvenaria Estrutural,VALIDADO,TRUE,TRUE,TRUE,FALSE,100,2-15,https://cbic.org.br/wp-content/uploads/2024/08/Estudo_Metodos_Construtivos_CBIC_2024.pdf,Requer projeto estrutural específico,matheusoption-bit,2025-11-14,2025-11-14
MET_03,Concreto Armado,2,1.15,0.90,sem limite,0.62,0.32,0.06,108,2124.42,2025-11-14,CBIC Estudo 2024,ABNT NBR 6118,VALIDADO,TRUE,TRUE,TRUE,TRUE,200,sem limite,https://cbic.org.br/wp-content/uploads/2024/08/Estudo_Metodos_Construtivos_CBIC_2024.pdf,Requer mão de obra especializada para estruturas complexas,matheusoption-bit,2025-11-14,2025-11-14
MET_04,Concreto Protendido,2,1.45,0.85,sem limite,0.58,0.35,0.07,102,2678.61,2025-11-14,CBIC Estudo 2024,ABNT NBR 6118,VALIDADO,FALSE,TRUE,TRUE,TRUE,1000,sem limite,https://cbic.org.br/wp-content/uploads/2024/08/Estudo_Metodos_Construtivos_CBIC_2024.pdf,Tecnologia para grandes vãos e estruturas especiais,matheusoption-bit,2025-11-14,2025-11-14
MET_05,Steel Frame,3,1.35,0.70,até 6 pavimentos,0.70,0.25,0.05,84,2493.88,2025-11-14,CBIC Estudo 2024,ABNT NBR 15253,VALIDADO,TRUE,TRUE,FALSE,TRUE,80,1-6,https://cbic.org.br/wp-content/uploads/2024/08/Estudo_Metodos_Construtivos_CBIC_2024.pdf,Requer certificação de fornecedores,matheusoption-bit,2025-11-14,2025-11-14
MET_06,Wood Frame,4,1.20,0.75,até 3 pavimentos,0.72,0.23,0.05,90,2216.78,2025-11-14,CBIC Estudo 2024,ABNT NBR 7190,PARCIALMENTE_VALIDADO,TRUE,FALSE,FALSE,TRUE,60,1-3,https://cbic.org.br/wp-content/uploads/2024/08/Estudo_Metodos_Construtivos_CBIC_2024.pdf,Mercado em desenvolvimento no Brasil,matheusoption-bit,2025-11-14,2025-11-14
MET_07,Pré-Moldado,2,1.25,0.80,até 12 pavimentos,0.60,0.33,0.07,96,2309.15,2025-11-14,CBIC Estudo 2024,ABNT NBR 9062,VALIDADO,FALSE,TRUE,TRUE,TRUE,500,2-12,https://cbic.org.tr/wp-content/uploads/2024/08/Estudo_Metodos_Construtivos_CBIC_2024.pdf,Requer planejamento de transporte e montagem,matheusoption-bit,2025-11-14,2025-11-14
MET_08,Alvenaria + Estrutura Metálica,3,1.30,0.88,até 10 pavimentos,0.66,0.29,0.05,105,2401.52,2025-11-14,CBIC Estudo 2024,ABNT NBR 8800,PARCIALMENTE_VALIDADO,TRUE,TRUE,TRUE,TRUE,150,2-10,https://cbic.org.br/wp-content/uploads/2024/08/Estudo_Metodos_Construtivos_CBIC_2024.pdf,Sistema híbrido com vantagens combinadas,matheusoption-bit,2025-11-14,2025-11-14
MET_09,EPS/ICF,1,0.82,0.92,até 8 pavimentos,0.75,0.20,0.05,110,1514.40,2025-11-14,CBIC Estudo 2024,Manual Técnico ICF,ESTIMADO,TRUE,TRUE,FALSE,FALSE,70,1-8,https://cbic.org.br/wp-content/uploads/2024/08/Estudo_Metodos_Construtivos_CBIC_2024.pdf,Tecnologia emergente com potencial de economia,matheusoption-bit,2025-11-14,2025-11-14
MET_10,Container,4,1.10,0.60,até 2 pavimentos,0.80,0.15,0.05,72,2031.05,2025-11-14,CBIC Estudo 2024,Normas Marítimas ISO,ESTIMADO,TRUE,TRUE,TRUE,FALSE,40,1-2,https://cbic.org.br/wp-content/uploads/2024/08/Estudo_Metodos_Construtivos_CBIC_2024.pdf,Execução mais rápida mas limitações estruturais,matheusoption-bit,2025-11-14,2025-11-14